# LGT WIPI-C module (table 0x1fb) export ids
# Recovered from liblgt_system.so '_export_table_wipic' [id, function, name].
# Id == the (0x1fb, id) import slot. Authoritative ABI mapping.

0x06a6	LGTC_sysSetKeyMap
0x06a7	LGTC_sysSetEventProcessMethod
0x06a8	LGTC_sysReqBackground
0x06a9	LGTC_sysReqForeground
0x06aa	LGTC_sysOEMAlloc
0x06ab	LGTC_sysOEMFree
0x06ac	LGTC_sysSendCommand
0x06ad	LGTC_sysCheckPassword
0x06ae	LGTC_sysGetMsgSendAvailable
0x06af	LGTC_sysGetCallAvailable
0x0708	MC_vamClipCreateByParam
0x0709	MC_vamClipCreateByRes
0x070a	MC_vamClipFree
0x070b	MC_vamClipSave
0x070c	MC_vamClipGetResData
0x070d	MC_vamClipGetParameter
0x070e	MC_vamClipDownloadOpen
0x070f	MC_vamClipDownloadClose
0x0710	MC_vamClipGetContentsState
0x076c	MC_annComponentShow
0x076d	LGTC_annComponentCreate
0x07d0	MC_netBillSocket
0x1b58	MC_secSSLNew
0x1b59	MC_secSSLFree
0x1b5a	MC_secSSLConnect
0x1b5b	MC_secSSLAddCipherSuite
0x1b5c	MC_secSSLClearCipherSuite
0x1b5d	MC_secSSLWrite
0x1b5e	MC_secSSLRead
0x1b5f	MC_secSSLInstallCert
0x1b60	MC_secSSLRemoveAll
0x1b61	MC_secSSLContinue
0x1b62	MC_secSSLVer
0x1b63	MC_secSSLShutdown
0x1f40	MC_grpDrawString_taf
0x1f41	MC_grpDrawUnicodeString_taf
0x1fa4	MC_lbsGetStationLocationInfo
0x1fa5	MC_gpsAvailable
0x1fa6	MC_gpsRequestLocationInfo
0x1fa7	MC_gpsGetConfig
0x1fa8	MC_gpsSetConfig
0x1fa9	MC_gpsControl
0x2328	LGTC_qosFlow
0x2329	LGTC_qosFlowRequest
0x232a	LGTC_qosFlowRelease
0x232b	LGTC_qosFlowSuspend
0x232c	LGTC_qosFlowResume
0x232d	LGTC_qosFlowGetStates
0x232e	LGTC_qosFlowGetProfileID
0x251c	LGTC_imeGetOEMInput
0x2580	LGTC_dnGetInstallInformation
0x2581	LGTC_dnGetDownloadSize
0x2582	LGTC_dnGetFreeSize
0x2583	LGTC_dnBeginInstallation
0x2584	LGTC_dnCompleteInstallation
0x2585	LGTC_dnWriteData
0x2586	LGTC_dnUninstallation
0x2587	LGTC_dnGetAppInformation
0x25e4	LGTC_themeInitialize
0x25e5	LGTC_themeDestroy
0x25e6	LGTC_themeGetImageWidth
0x25e7	LGTC_themeGetImageHeight
0x25e8	LGTC_themeIsSupportFormat
0x25e9	LGTC_themeGetModeCount
0x25ea	LGTC_themeGetModeName
0x25eb	LGTC_themeGetItemGroupCount
0x25ec	LGTC_themeGetItemGroupName
0x25ed	LGTC_themeGetItemGroupModeType
0x25ee	LGTC_themeGetItemCount
0x25ef	LGTC_themeGetItemName
0x25f0	LGTC_themeGetItemFormat
0x25f1	LGTC_themeAvailableSpace
0x25f2	LGTC_themeSaveItem
0x25f3	LGTC_themeGetItemSize
0x25f4	LGTC_themeGetItem
0x25f5	LGTC_themeGetAssignedItem
0x25f6	LGTC_themeAssignItem
0x25f7	LGTC_themeRemoveItem
0x25f8	LGTC_themeGetMaxModeName
0x25f9	LGTC_themeGetMaxItemName
0x25fa	LGTC_themeGetMaxItemGroupName
0x25fb	LGTC_themePlaySoundItem
0x25fc	LGTC_themeStopSoundItem
0x2648	LGTC_osdInitialize
0x2649	LGTC_osdFinalize
0x264a	LGTC_osdGetMaxLayerCount
0x264b	LGTC_osdOpenLayer
0x264c	LGTC_osdCloseLayer
0x264d	LGTC_osdShowLayer
0x264e	LGTC_osdHideLayer
0x264f	LGTC_osdRegisterBuffer
0x2650	LGTC_osdDeregisterBuffer
0x2651	LGTC_osdFlushBuffer
